Title,Folder_Path,File_Path,Encoder
Blue Is the Warmest Color (2013),G:\0 Director\Abdellatif Kechiche\Blue Is the Warmest Color (2013) Tigole 7.4 3000,Blue_Is_the_Warmest_Color_2013_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Bandi_30NAMA.mkv,Bandi
The Secret of the Grain (2007),G:\0 Director\Abdellatif Kechiche\The Secret Of The Grain (2007) Tigole 7.5 300,The_Secret_of_the_Grain_2007_CRITERION_COLLECTION_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Black Venus (2010),G:\0 Director\Abdellatif Kechiche\Vénus noire (2010) dvd 7 100,Black_Venus_2010_CD1_DVDRip_RedBlade_30NAMA.avi,DVDRip
21 Grams (2003),G:\0 Director\Alejandro Inarritu\21 Grams (2003) Tigole 6.5,21 Grams (2003) (1080p BluRay x265 afm72).mkv,afm72
Amores Perros (2000),G:\0 Director\Alejandro Inarritu\Amores Perros (2000) Tigole 7.6,Amores Perros (2000) (1080p BluRay x265 Bandi).mkv,Bandi
Babel (2006),G:\0 Director\Alejandro Inarritu\Babel (2006) Tigole 6.3,Babel (2006) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Birdman (2014),G:\0 Director\Alejandro Inarritu\Birdman (2014) 7.3,Birdman (2014) (1080p BluRay x265 afm72).mkv,afm72
Biutiful (2010),G:\0 Director\Alejandro Inarritu\Biutiful (2010) 88 Tigole 6.7,Biutiful_2010_10bit_1080p_x265_BluRay_AAC_r00t_30NAMA.mkv,r00t
The Revenant (2015),G:\0 Director\Alejandro Inarritu\The Revenant (2015) Tigole 6.8,The Revenant (2015) Open Matte (1080p x265 Silence).mkv,Silence
Borgman (2013),G:\0 Director\Alex van Warmerdam\Borgman (2013) Tigole 6.8 500,Borgman.2013.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
Ober (2006),G:\0 Director\Alex van Warmerdam\Ober (2006) YTS NE 6.7 100,Ober_2006_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
About Schmidt (2002),G:\0 Director\Alexander Payne\About Schmidt (2002) 6.2,About Schmidt 2002 BDRip ITA ENG 1080p x265 Paso77.mkv,Paso77
Election (1999),G:\0 Director\Alexander Payne\Election (1999) 6.5,Election_1999_CRITERION_COLLECTION_10bit_1080p_x265_BrRip_AAC_Tigole_30NAMA.mkv,Tigole
Nebraska (2013),G:\0 Director\Alexander Payne\Nebraska (2013) Tigole 6.7,Nebraska (2013) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Sideways (2004),G:\0 Director\Alexander Payne\Sideways (2004) Tigole 6.5,Sideways (2004) (1080p BluRay x265 afm72).mkv,afm72
The Descendants (2011),G:\0 Director\Alexander Payne\The Descendants (2011) Tigole 6,The Descendants (2011) (1080p BluRay x265 Silence).mkv,Silence
Y Tu Mama Tambien (2001),G:\0 Director\Alfonso Cuaron\And Your Mother Too (2001) Tigole 7.1,Y Tu Mama Tambien 2001 Criterion (1080p x265 10bit Tigole).mkv,Tigole
Children of Men (2006),G:\0 Director\Alfonso Cuaron\Children of Men (2006) 7.5,Children of Men (2006) (1080p BluRay x265 Panda).mkv,Panda
Gravity (2013),G:\0 Director\Alfonso Cuaron\Gravity (2013) Tigole 6,Gravity (2013) (1080p BluRay x265 Silence).mkv,Silence
Roma (2018),G:\0 Director\Alfonso Cuaron\Roma (2018) Tigole 7.9,Roma (2018) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
Adam's Apples (2005),G:\0 Director\Anders Thomas Jensen\Adam's Apples (2005) Tigole 7 1300,Adam's Apples (2005) (1080p BluRay x265 10bit Tigole).mkv,Tigole
After the Wedding (2006),G:\0 Director\Anders Thomas Jensen\After the Wedding (2006) YTS 7.4 800,After_the_Wedding_2006_10bit_1080p_x265_WEB-DL_30nama_ 8.mkv,30nama
Brothers Zwischen Brudern (2004),G:\0 Director\Anders Thomas Jensen\Brothers (2004) dvd 6.2 300,Brothers_Zwischen_Brudern_2004_DVDRip_30NAMA.avi,DVDRip
In a Better World (2010),G:\0 Director\Anders Thomas Jensen\In a Better World (2010) Tigole 7.2 800,In a Better World (2010) (1080p BluRay x265 r00t).mkv,r00t
Open Hearts (2002),G:\0 Director\Anders Thomas Jensen\Open Hearts (2002) dvd 7 300,Open_Hearts_2002_DVDRip_30NAMA.mkv,DVDRip
Red Road (2006),G:\0 Director\Anders Thomas Jensen\Red Road (2006) YTS 6.2 400,Red_Road_2006_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Riders of Justice (2020),G:\0 Director\Anders Thomas Jensen\Riders of Justice (2020) Dm Silence 6.7 300,Riders of Justice (2020) (1080p BluRay x265 Silence).mkv,Silence
the green butchers (2003),G:\0 Director\Anders Thomas Jensen\the.green.butchers.2003.1080p.bluray.x264-usury,the.green.butchers.2003.1080p.bluray.x264-usury.mkv,usury
Elena (2011),G:\0 Director\Andrey Zvyagintsev\Elena (2011) Tigole 7.1,Elena (2011) (1080p x265 10bit Tigole).mkv,Tigole
Leviathan (2014),G:\0 Director\Andrey Zvyagintsev\Leviathan (2014) Tigole 7.9,Leviathan (2014) (1080p BluRay x265 Silence).mkv,Silence
Loveless (2017),G:\0 Director\Andrey Zvyagintsev\Loveless (2017) Tigole 7.5,Loveless (2017) (1080p BluRay x265 afm72).mkv,afm72
the banishment (2007),G:\0 Director\Andrey Zvyagintsev\The Banishment (Izgnanie) (2007) 7.8,the.banishment.2007.1080p.bluray.x264-usury.mkv,usury
The Return (2003),G:\0 Director\Andrey Zvyagintsev\The Return (2003) 8.3,The_Return_2003_1080p_BluRay_Full_HD_DTS_MaG_30NAMA.mkv,
Memoria (2021),G:\0 Director\Apichatpong Weerasethakul\Memoria (2021) HORiZON 7.1 100,Memoria.2021.1080p.WEBRip.x264.AC3.HORiZON-ArtSubs.mkv,HORiZON
Sang sattawat (2006),G:\0 Director\Apichatpong Weerasethakul\Syndromes and a Century (2006) dvd 8.3 600,Sang_sattawat_2006_DVDRip_30NAMA.mkv,DVDRip
Tropical Malady Liebe kennt nur den Moment (2004),G:\0 Director\Apichatpong Weerasethakul\Tropical Malady (2004) YTS 7.6 600,Tropical_Malady_Liebe_kennt_nur_den_Moment_2004_1080p_WEB-DL_5.1CH_30NAMA.mkv,
Uncle Boonmee Who Can Recall His Past Lives (2010),G:\0 Director\Apichatpong Weerasethakul\Uncle Boonmee Who Can Recall His Past Lives (2010) YTS 7.5 1000,Uncle_Boonmee_Who_Can_Recall_His_Past_Lives_2010_1080p_BrRip_30nama_30NAMA.mkv,30nama
A Hero (2021),G:\0 Director\Asghar Farhadi\A Hero (2021) 4K,A.Hero.2021.2160p.AMZN.WEB-DL.DDP5.1.HDR.HEVC-ViLLAiN.mkv,
A Separation (2011),G:\0 Director\Asghar Farhadi\A Separation (2011) Tigole 8.6,A Separation (2011) (1080p BluRay x265 afm72).mkv,afm72
About Elly (2009),G:\0 Director\Asghar Farhadi\About Elly (2009) Tigole 8,About Elly (2009) (1080p BluRay x265 afm72).mkv,afm72
Beautiful City (2004),G:\0 Director\Asghar Farhadi\Beautiful City (2004) dvd 7.2,Beautiful_City_2004_DVDRip_MkvCage_30NAMA.mkv,MkvCage
Dancing in the Dust (2003),G:\0 Director\Asghar Farhadi\Dancing in the Dust (2003) 5.5,Dancing_in_the_Dust_2003_REMASTERED_1080p_WEB-DL_AAC_30NAMA.mkv,
Everybody Knows (2018),G:\0 Director\Asghar Farhadi\Everybody Knows (2018) Tigole 5.5,Everybody_Knows_2018_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Fireworks Wednesday (2006),G:\0 Director\Asghar Farhadi\Fireworks Wednesday (2006) Tigole 7.8,Fireworks Wednesday (2006) (1080p AMZN WEB-DL x265 afm72).mkv,afm72
The Past (2013),G:\0 Director\Asghar Farhadi\The Past (2013) Tigole 7.2,The_Past_2013_10bit_1080p_x265_BluRay_AAC_5.1_afm72_30NAMA.mkv,afm72
The Salesman (2016),G:\0 Director\Asghar Farhadi\The Salesman (2016) Tigole 6.2,The Salesman (2016) (1080p BluRay x265 afm72).mkv,afm72
Barking Dogs Never Bite (2000),G:\0 Director\Bong Joon-ho\Barking Dogs Never Bite (2000) Tigole 6.3,Barking_Dogs_Never_Bite_2000_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Memories of Murder (2003),G:\0 Director\Bong Joon-ho\Memories of Murder (2003) Tigole 8.3,Memories of Murder (2003) (1080p BluRay x265 Silence).mkv,Silence
Mother (2009),G:\0 Director\Bong Joon-ho\Mother (2009) Tigole 7.9,Mother (2009) (1080p BluRay x265 Silence).mkv,Silence
Okja (2017),G:\0 Director\Bong Joon-ho\Okja (2017) Tigole 5.9,Okja.2017.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,YTS
Parasite (2019),G:\0 Director\Bong Joon-ho\Parasite (2019) Tigole 8.5,Parasite_2019_10bit_2160p_x265_BrRip_YIFY_30NAMA.mkv,YIFY
Camille Claudel (1915),G:\0 Director\Bruno Dumont\Camille Claudel 1915 (2013) 6.1,Camille.Claudel.1915.2013.1080p.BluRay.x264.AAC-[YTS.MX].mp4,YTS
Flandres (2006),G:\0 Director\Bruno Dumont\Flandres (2006) 6.5,Flandres_2006_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Hadewijch (2009),G:\0 Director\Bruno Dumont\Hadewijch (2009) 6.7,Hadewijch_2009_10bit_720p_x265_BrRip_30nama_30NAMA.mkv,30nama
L'Humanite (1999),G:\0 Director\Bruno Dumont\Humanite (1999) Tigole 7.5,L'Humanite.1999.Criterion.1080p.BluRay.x265.HEVC.AAC-SARTRE.mkv,SARTRE
La Vie de Jesus (1997),G:\0 Director\Bruno Dumont\La Vie de Jesus (1997) Tigole 7.2,La.Vie.de.Jesus.1997.Criterion.1080p.BluRay.x265.HEVC.FLAC-SARTRE.mkv,SARTRE
Burning (2018),G:\0 Director\Chang-dong Lee\Burning (2018) Tigole 8 1500,Burning (2018) (1080p Blu-ray x265 Silence).mkv,Silence
Oasis (2002),G:\0 Director\Chang-dong Lee\Oasiseu (2002) Silence 7.9 400,Oasis (2002) (1080p BluRay x265 Silence).mkv,Silence
Poetry (2010),G:\0 Director\Chang-dong Lee\Poetry (2010) Tigole 7.6 600,Poetry (2010) (1080p BluRay x265 Silence).mkv,Silence
Secret Sunshine (2007),G:\0 Director\Chang-dong Lee\Secret Sunshine (2007) Silence 7.3 400,Secret Sunshine (2007) (1080p BluRay x265 Silence).mkv,Silence
Barbara (2012),G:\0 Director\Christian Petzold\Barbara (2012) Tigole 6.4 500,Barbara (2012) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Phoenix (2014),G:\0 Director\Christian Petzold\Phoenix (2014) Tigole 7.2 600,Phoenix (2014) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
The State I Am In (2000),G:\0 Director\Christian Petzold\The State I Am In (2000) dvd 6.8 100,The_State_I_Am_In_2000_DVDRip_30NAMA 7.7.mkv,DVDRip
Transit (2018),G:\0 Director\Christian Petzold\Transit (2018) Tigole 7.5 500,Transit (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Undine (2020),G:\0 Director\Christian Petzold\Undine (2020) Tigole 6 300,Undine (2020) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Batman Begins (2005),G:\0 Director\Christopher Nolan\Batman Begins (2005) 6.4,Batman_Begins_2005_10bit_2160p_x265_BrRip_5.1CH_YIFY_30NAMA.mkv,YIFY
Following (1998),G:\0 Director\Christopher Nolan\Following (1998) 6.4,Following 1998 Criterion (1080p x265 10bit Tigole).mkv,Tigole
Inception (2010),G:\0 Director\Christopher Nolan\Inception (2010) 7.3,Inception_2010_10bit_2160p_x265_BluRay_UHD_TrueHD_INFERNO_30NAMA.mkv,INFERNO
Interstellar (2014),G:\0 Director\Christopher Nolan\Interstellar (2014) 6.5,Interstellar_2014_10bit_2160p_x265_BrRip_5.1CH_YIFY_30NAMA.mkv,YIFY
Memento (2000),G:\0 Director\Christopher Nolan\Memento (2000) Tigole 7.6,Memento_2000_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
The Dark Knight (2008),G:\0 Director\Christopher Nolan\The Dark Knight (2008) 7.6,The_Dark_Knight_2008_10bit_2160p_x265_BrRip_YIFY_30NAMA.mkv,YIFY
The Prestige (2006),G:\0 Director\Christopher Nolan\The Prestige (2006) 7.1,The Prestige (2006) (1080p BluRay x265 afm72).mkv,afm72
aurora (2010),G:\0 Director\Cristi Puiu\Aurora (2010) YTS 6.2 100,aurora.2010.1080p.bluray.x264-usury.mkv,usury
Manor House (2020),G:\0 Director\Cristi Puiu\Manor House (2020) YTS 6.2 0,Manor_House_2020_1080p_WEB-DL_30nama_30NAMA.mkv,30nama
Sieranevada (2016),G:\0 Director\Cristi Puiu\Sieranevada (2016) Tigole 8.2 200,Sieranevada (2016) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Stuff and Dough (2001),G:\0 Director\Cristi Puiu\Stuff and Dough (2001) YTS 6.6 0,Stuff_and_Dough_2001_1080p_WEB-DL_playWEB_30NAMA.mkv,playWEB
The Death of Mr Lazarescu (2005),G:\0 Director\Cristi Puiu\The Death of Mr Lazarescu (2006) 30nama 8 600,The_Death_of_Mr_Lazarescu_2005_1080p_WEB-DL_30nama_30NAMA.mkv,30nama
Beyond the Hills (2012),G:\0 Director\Cristian Mungiu,Beyond_the_Hills_2012_1080p_BluRay_nikt0_30NAMA.mkv,nikt0
"4 Months, 3 Weeks and 2 Days (2007)",G:\0 Director\Cristian Mungiu\4 Months 3 Weeks and 2 Days (2007) 8 2500,"4 Months, 3 Weeks and 2 Days (2007) (1080p x265 Silence).mkv",Silence
Graduation (2016),G:\0 Director\Cristian Mungiu\Graduation (2016) Tigole 7 400,Graduation (2016) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Okzident (2002),G:\0 Director\Cristian Mungiu\Occident (2002) dvd 6.3 0,Okzident_2002_DVDRip_30NAMA.avi,DVDRip
Amintiri din epoca de aur (2009),G:\0 Director\Cristian Mungiu\Tales from the Golden Age (2009) YTS 6.8 100,Amintiri_din_epoca_de_aur_2009_1080p_WEB-DL_30nama_30NAMA.mkv,30nama
Girlhood (2014),G:\0 Director\Céline Sciamma,Girlhood_2014_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
My Life as a Zucchini (2016),G:\0 Director\Céline Sciamma\My Life as a Zucchini (2016) Fr r00t,My Life as a Zucchini (2016) (1080p BluRay x265 r00t).mkv,r00t
